FILENAME: `BIPs/2025-W27/BIP-849-gauge-kills-q2-2025.json`
MULTISIG: `multisigs/dao (mainnet:0x10A19e7eE7d7F8a52822f6817de8ea18204F2e4f)`
COMMIT: `abc99159acc4e6062278295e785269b96c1fa2b5`
CHAIN(S): `mainnet`
TENDERLY: [`🟩 SUCCESS`](https://www.tdly.co/shared/simulation/aab75323-a64b-4ece-b9d3-947c2757a317)

```
+---------------+-----------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+-------------+---------------+---------+----------+
| function      | entrypoint                                                                                                      | target                                                                                            | selector    | parsed_inputs |   bip   | tx_index |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x3aba56cec68987963566a9aa93bb7f7dd28de3f5 (root_gauges/ECLP-wstETH-WETH-arbitrum-root-3aba)      | killGauge() |               | BIP-849 |    27    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2c2179abce3413e27bda6917f60ae37f96d01826 (gauges/50rETH-50RPL-gauge-2c21)                       | killGauge() |               | BIP-849 |    28    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x25869f277f474fa9459f40f5d4cb0d6a8ab41967 (root_gauges/DOLA/USDC BPT-arbitrum-root-2586)         | killGauge() |               | BIP-849 |    29    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x058059cb764a98c18b937222ed06c1ad2f174dce (root_gauges/ETHx/wstETH-arbitrum-root-0580)           | killGauge() |               | BIP-849 |    30    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xa4c104ab9116a84714c081e0ed6d750221e4c756 (root_gauges/20WMATIC-80SPHERE-polygon-root-a4c1)      | killGauge() |               | BIP-849 |    31    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xee01c0d9c0439c94d314a6ecae0490989750746c (gauges/swETH-WETH-BPT-gauge-ee01)                     | killGauge() |               | BIP-849 |    32    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xf17f1e67bc384e43b4acf69cc032ad086f15f262 (gauges/50TEMPLE-50DAI-gauge-f17f)                     | killGauge() |               | BIP-849 |    33    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x85d6840eab7473b60f10d1a3e2452243eb702c97 (gauges/BAL-20WETH-80VCX-gauge-85d6)                   | killGauge() |               | BIP-849 |    34    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x20d03f9d0304744891881e6ac1d45b996e7f39b5 (root_gauges/bpt-roabee-optimism-root-20d0)            | killGauge() |               | BIP-849 |    35    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xc40f4abc616ab3136a002a667a7830f3f7dec5fa (gauges/ePENDLE/PENDLE-gauge-c40f)                     | killGauge() |               | BIP-849 |    36    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x5612876e6f6ca370d93873fe28c874e89e741fb9 (gauges/USDC-DAI-USDT-gauge-5612)                      | killGauge() |               | BIP-849 |    37    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xf720e9137baa9c7612e6ca59149a5057ab320cfa (gauges/GHO/USDT/USDC-gauge-f720)                      | killGauge() |               | BIP-849 |    38    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0x2e8a05f0216c6cc43bc123ee7def58901d3844d2 (root_gauges/wUSDL/GHO-arbitrum-root-2e8a)             | killGauge() |               | BIP-849 |    39    |
| performAction | 0xf5dECDB1f3d1ee384908Fbe16D2F0348AE43a9eA (20221124-authorizer-adaptor-entrypoint/AuthorizerAdaptorEntrypoint) | 0xb599e35f760c47888ad3ff684ff4cd01ff4dc45b (root_gauges/ECLP-GHO-GYD-rh-arbitrum-root-b599)       | killGauge() |               | BIP-849 |    40    |
+---------------+-----------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------------------+-------------+---------------+---------+----------+
```
